IUPAC Name;Common Name;Abbreviation;Inchi;SMILES;SAScore;Reference
1-ethylsulfonyl-2-methylpropane;Ethyl isobutyl sulfone;EiBS;InChI=1S/C6H14O2S/c1-4-9(7,8)5-6(2)3/h6H,4-5H2,1-3H3;CCS(=O)(=O)CC(C)C;2.341;Green Chem., 2017, 19, 1828?1849(DOI:10.1039/c7gc00252a)
2-ethylsulfonylbutane;2-(Ethylsulfonyl)butane;EsBS;InChI=1S/C6H14O2S/c1-4-6(3)9(7,8)5-2/h6H,4-5H2,1-3H3;CCC(C)S(=O)(=O)CC;3.019;Green Chem., 2017, 19, 1828?1849(DOI:10.1039/c7gc00252a)
1-ethenylsulfonylethane;Ethyl vinyl sulfone;EVS;InChI=1S/C4H8O2S/c1-3-7(5,6)4-2/h3H,1,4H2,2H3;C=CS(=O)(=O)CC;3.120;Green Chem., 2017, 19, 1828?1849(DOI:10.1039/c7gc00252a)
ethylsulfonylcyclopentane;ethyl sulfonyl cyclopentane;ESCP;InChI=1S/C7H14O2S/c1-2-10(8,9)7-5-3-4-6-7/h7H,2-6H2,1H3;CCS(=O)(=O)C1CCCC1;2.396;Green Chem., 2017, 19, 1828?1849(DOI:10.1039/c7gc00252a)
1-propylsulfonylpropane;Dipropyl sulfone;DPS;InChI=1S/C6H14O2S/c1-3-5-9(7,8)6-4-2/h3-6H2,1-2H3;CCCS(=O)(=O)CCC;2.264;Green Chem., 2017, 19, 1828?1849(DOI:10.1039/c7gc00252a)
2-methylthietane 1,1-dioxide;2-Methylthietane 1,1-dioxide;MTS;InChI=1S/C4H8O2S/c1-4-2-3-7(4,5)6/h4H,2-3H2,1H3;CC1CCS1(=O)=O;3.653;Green Chem., 2017, 19, 1828?1849(DOI:10.1039/c7gc00252a)
3-methylthiolane 1,1-dioxide;3-Methylsulfolane;3MeSL(MSL);InChI=1S/C5H10O2S/c1-5-2-3-8(6,7)4-5/h5H,2-4H2,1H3;CC1CCS(=O)(=O)C1;3.379;Green Chem., 2017, 19, 1828?1849(DOI:10.1039/c7gc00252a)
N,N-dimethylcarbamoyl fluoride;Dimethylcarbamylfluoride;;InChI=1S/C3H6FNO/c1-5(2)3(4)6/h1-2H3;CN(C)C(=O)F;2.512;Xu, Yun,Amide-based inexpensive, non-flammable electrolyte for secondary battery,US20240372141 A1(patent)
N-Fluoromethyl-N-methylformamide;N-Fluoromethyl-N-methylformamide;;InChI=1S/C3H6FNO/c1-5(2-4)3-6/h3H,2H2,1H3;CN(C=O)CF;3.967;Noriyuki Tamura,Nonaqueous electrolyte solution for secondary battery and nonaqueous electrolyte secondary battery,US20060035155A1(patent). Adv. Funct. Mater. 2023, 33, 2212342, (DOI:Adv. Funct. Mater. 2023, 33, 2212342)
2-fluoro-N,N-dimethylacetamide;2-Fluoro-N,N-dimethylacetamide;;InChI=1S/C4H8FNO/c1-6(2)4(7)3-5/h3H2,1-2H3;CN(C)C(=O)CF;2.696;Kuwashima, Yoshiko,JP2019175774 A(Patent)
N,N-diethylacetamide;N,N-diethylacetamide;DEA;InChI=1S/C6H13NO/c1-4-7(5-2)6(3)8/h4-5H2,1-3H3;CCN(CC)C(C)=O;2.100;Energy Technol. 2025, 2500556(DOI:10.1002/ente.202500556)
N,N-dimethylpropanamide;N,N-dimethylpropionamide;DMPA;InChI=1S/C5H11NO/c1-4-5(7)6(2)3/h4H2,1-3H3;CCC(=O)N(C)C;2.067;Chemical Physics Letters 870 (2025) 142088(DOI:10.1016/j.cplett.2025.142088)
N,N-dimethylbenzamide;N,N-Dimethylbenzamide;;InChI=1S/C9H11NO/c1-10(2)9(11)8-6-4-3-5-7-8/h3-7H,1-2H3;CN(C)C(=O)c1ccccc1;1.299;Koh, Meiten,WO2010110290 A1(patent)
N,N-dimethylbutanamide;N,N-Dimethylbutyramide;;InChI=1S/C6H13NO/c1-4-5-6(8)7(2)3/h4-5H2,1-3H3;CCCC(=O)N(C)C;1.853;Zheng, Jianming,CN114122440 A(patent)
2,2,2-trifluoro-N,N-dimethylacetamide;N,N-dimethyltrifluoroacetamide;FDMA(DMTFA);InChI=1S/C4H6F3NO/c1-8(2)3(9)4(5,6)7/h1-2H3;CN(C)C(=O)C(F)(F)F;2.509;Adv. Funct. Mater. 2025, e19001(DOI:10.1002/adfm.202519001)
propanenitrile;Propanenitrile(Propionitrile);PN;InChI=1S/C3H5N/c1-2-3-4/h2H2,1H3;CCC#N;2.701;Journal of The Electrochemical Society, 165 (10) A2365-A2373 (2018) (DOI:10.1149/2.1351810jes)
butanenitrile;Butanenitrile(n-Butyronitrile);nBN;InChI=1S/C4H7N/c1-2-3-4-5/h2-3H2,1H3;CCCC#N;2.743;Journal of The Electrochemical Society, 165 (10) A2365-A2373 (2018) (DOI:10.1149/2.1351810jes)
pentanenitrile;valeronitrile;VN;InChI=1S/C5H9N/c1-2-3-4-5-6/h2-4H2,1H3;CCCCC#N;2.154;Chem. Sci., 2024,15, 13768-13778(DOI:10.1039/D4SC03890H)
2-phenylacetonitrile;Benzyl nitrile;Benzylcyanide;InChI=1S/C8H7N/c9-7-6-8-4-2-1-3-5-8/h1-5H,6H2;N#CCc1ccccc1;1.577;Shatunov, Pavel Alexandrovich,EP2796926 A2(patent)
ethyl 2-cyanoacetate;Ethyl cyanoacetate;ECA;InChI=1S/C5H7NO2/c1-2-8-5(7)3-4-6/h2-3H2,1H3;CCOC(=O)CC#N;2.377;Cheng, Yongde,CN111517986 A(patent)
2-fluoroacetonitrile;Fluoroacetonitrile;FAN;InChI=1S/C2H2FN/c3-1-2-4/h1H2;N#CCF;3.545;Adv. Funct. Mater. 2025, e16729(DOI:10.1002/adfm.202516729)
propanedinitrile;Malononitrile;MAN;InChI=1S/C3H2N2/c4-2-1-3-5/h1H2;N#CCC#N;3.927;Chem. Rev. 2014, 114, 11503?11618(DOI: 10.1021/cr500003w)
2-methoxyacetonitrile;Methoxyacetonitrile;MON;InChI=1S/C3H5NO/c1-5-3-2-4/h3H2,1H3;COCC#N;2.970;Journal of The Electrochemical Society, 164 (2) A54-A60 (2017) (DOI:10.1149/2.0211702jes)
3-methoxypropanenitrile;3-Methoxypropionitrile;MPN;InChI=1S/C4H7NO/c1-6-4-2-3-5/h2,4H2,1H3;COCCC#N;2.451;Journal of The Electrochemical Society, 164 (2) A54-A60 (2017) (DOI:10.1149/2.0211702jes)
pentanedinitrile;Glutaronitrile;GN(GLN);InChI=1S/C5H6N2/c6-4-2-1-3-5-7/h1-3H2;N#CCCCC#N;2.756;Journal of The Electrochemical Society, 164 (2) A54-A60 (2017) (DOI:10.1149/2.0211702jes)
hexanedinitrile;Adiponitrile;APN(ADN);InChI=1S/C6H8N2/c7-5-3-1-2-4-6-8/h1-4H2;N#CCCCCC#N;2.597;Journal of The Electrochemical Society, 164 (2) A54-A60 (2017)  (DOI:10.1149/2.0211702jes)
heptanedinitrile;Pimelonitrile;PMN;InChI=1S/C7H10N2/c8-6-4-2-1-3-5-7-9/h1-5H2;N#CCCCCCC#N;2.482;Chem. Rev. 2014, 114, 11503?11618(DOI: 10.1021/cr500003w)
octanedinitrile;Suberonitrile;SUN;InChI=1S/C8H12N2/c9-7-5-3-1-2-4-6-8-10/h1-6H2;N#CCCCCCCC#N;2.396;Chem. Rev. 2014, 114, 11503?11618(DOI: 10.1021/cr500003w)
nonanedinitrile;Azelanitrile;AZN;InChI=1S/C9H14N2/c10-8-6-4-2-1-3-5-7-9-11/h1-7H2;N#CCCCCCCCC#N;2.332;Chem. Rev. 2014, 114, 11503?11618(DOI: 10.1021/cr500003w)
decanedinitrile;Sebaconitrile;SEN;InChI=1S/C10H16N2/c11-9-7-5-3-1-2-4-6-8-10-12/h1-8H2;N#CCCCCCCCCC#N;2.224;Chem. Rev. 2014, 114, 11503?11618(DOI: 10.1021/cr500003w)
2-chloroacetonitrile;Chloroacetonitrile;ClAN;InChI=1S/C2H2ClN/c3-1-2-4/h1H2;N#CCCl;3.300;Angew. Chem. Int. Ed. 2025, e202513747(DOI:0.1002/anie.202513747)
3,3,3-trifluoropropanenitrile;3,3,3-Trifluoropropanenitrile;;InChI=1S/C3H2F3N/c4-3(5,6)1-2-7/h1H2;N#CCC(F)(F)F;3.282;Motegi, Akira,JP2010238385 A(patent)
2-methylpentanedinitrile;2-Methylglutaronitrile;MeGLN;InChI=1S/C6H8N2/c1-6(5-8)3-2-4-7/h6H,2-3H2,1H3;CC(C#N)CCC#N;3.532;J. Electrochem. Soc. 2015,162 A3084 (DOI:10.1149/2.0121502jes)
2,2-dimethylpropanenitrile;Trimethylacetonitrile;TMA;InChI=1S/C5H9N/c1-5(2,3)4-6/h1-3H3;CC(C)(C)C#N;2.532;Journal of The Electrochemical Society, 160 (1) A160-A171 (2013)(DOI:10.1149/2.027302jes)
2,2-dimethylbutanenitrile;2,2-Dimethylbutanenitrile;;InChI=1S/C6H11N/c1-4-6(2,3)5-7/h4H2,1-3H3;CCC(C)(C)C#N;3.019;Shen, Dawei,CN107417569 A?patent)
anisole;Methoxybenzene;PhM(MB2);InChI=1S/C7H8O/c1-8-7-5-3-2-4-6-7/h2-6H,1H3;COc1ccccc1;1.000;Electrochemical and Solid-State Letters, 14 (8) A113-A115 (2011)(DOI:10.1149/1.3596719)
1-methoxy-2-(2-methoxyethoxy)ethane;Diglyme;DGM(G2,DIG,DGEME,DEGDME);InChI=1S/C6H14O3/c1-7-3-5-9-6-4-8-2/h3-6H2,1-2H3;COCCOCCOC;1.863;Electrochemistry 76.1 (2008): 2-15(DOI:10.5796/electrochemistry.76.2)
methyl 3-cyanopropanoate;Methyl 3-cyanopropionate;MCP;InChI=1S/C5H7NO2/c1-8-5(7)3-2-4-6/h2-3H2,1H3;COC(=O)CCC#N;2.304;ChemSusChem 2016, 9, 1704 ? 1711(DOI:10.1002/cssc.201600369)
methyl 2-cyano-2-methylpropanoate;Methyl 2-cyano-2-methylpropanoate;MCMP;InChI=1S/C6H9NO2/c1-6(2,4-7)5(8)9-3/h1-3H3;COC(=O)C(C)(C)C#N;2.773;ChemSusChem 2016, 9, 1704 ? 1711(DOI:10.1002/cssc.201600369)
ethyl 2-cyano-2-methylpropanoate;Ethyl 2-cyano-2-methylpropanoate;ECMP;InChI=1S/C7H11NO2/c1-4-10-6(9)7(2,3)5-8/h4H2,1-3H3;CCOC(=O)C(C)(C)C#N;2.565;ChemSusChem 2016, 9, 1704 ? 1711(DOI:10.1002/cssc.201600369)
methoxycyclopentane;Cyclopentyl methyl ether;CPME;InChI=1S/C6H12O/c1-7-6-4-2-3-5-6/h6H,2-5H2,1H3;COC1CCCC1;1.863;Angew. Chem. Int. Ed. 2023, 62, e202300771(DOI:10.1002/ange.202300771)
oxane;Tetrahydropyran;THP;InChI=1S/C5H10O/c1-2-4-6-5-3-1/h1-5H2;C1CCOCC1;1.917;Chem. Sci., 2024, 15, 4238(DOI:10.1039/d3sc06650a)
1-methoxy-2-[2-(2-methoxyethoxy)ethoxy]ethane;Triglyme;G3;InChI=1S/C8H18O4/c1-9-3-5-11-7-8-12-6-4-10-2/h3-8H2,1-2H3;COCCOCCOCCOC;1.939;Electrochemistry 76.1 (2008): 2-15(DOI:10.5796/electrochemistry.76.2)
methyl 2-fluorosulfonylacetate;methyl 2-fluorosulfonylacetate;;InChI=1S/C3H5FO4S/c1-8-3(5)2-9(4,6)7/h2H2,1H3;COC(=O)CS(=O)(=O)F;2.806;Kim, Bang Han,WO2025154963A1(patent)
1-nitroethane;Nitroethane;NE;InChI=1S/C2H5NO2/c1-2-3(4)5/h2H2,1H3;CC[N+](=O)[O-];2.777;Journal of The Electrochemical Society, 164 (2) A54-A60 (2017) (DOI:10.1149/2.0211702jes)
propyl acetate;n-Propyl acetate;nPA;InChI=1S/C5H10O2/c1-3-4-7-5(2)6/h3-4H2,1-2H3;CCCOC(C)=O;1.729;Journal of The Electrochemical Society, 165 (10) A2365-A2373 (2018) (DOI:10.1149/2.1351810jes)
2-methylpropyl acetate;i-Butyl acetate;iBA;InChI=1S/C6H12O2/c1-5(2)4-8-6(3)7/h5H,4H2,1-3H3;CC(=O)OCC(C)C;1.818;Journal of The Electrochemical Society, 165 (10) A2365-A2373 (2018) (DOI:10.1149/2.1351810jes)
methyl propanoate;Methyl propionate;MP;InChI=1S/C4H8O2/c1-3-4(5)6-2/h3H2,1-2H3;CCC(=O)OC;1.945;Journal of The Electrochemical Society, 165 (10) A2365-A2373 (2018) (DOI:10.1149/2.1351810jes)
methyl formate;Methyl formate;MF;InChI=1S/C2H4O2/c1-4-2-3/h2H,1H3;COC=O;2.949;Journal of The Electrochemical Society, 165 (10) A2365-A2373 (2018) (DOI:10.1149/2.1351810jes)
ethyl formate;Ethyl formate;EF;InChI=1S/C3H6O2/c1-2-5-3-4/h3H,2H2,1H3;CCOC=O;3.043;Journal of The Electrochemical Society, 165 (10) A2365-A2373 (2018) (DOI:10.1149/2.1351810jes)
propyl formate;n-Propyl formate;nPF;InChI=1S/C4H8O2/c1-2-3-6-4-5/h4H,2-3H2,1H3;CCCOC=O;2.706;Journal of The Electrochemical Society, 165 (10) A2365-A2373 (2018) (DOI:10.1149/2.1351810jes)
propan-2-yl formate;i-Propyl formate;iPF;InChI=1S/C4H8O2/c1-4(2)6-3-5/h3-4H,1-2H3;CC(C)OC=O;3.086;Journal of The Electrochemical Society, 165 (10) A2365-A2373 (2018) (DOI:10.1149/2.1351810jes)
butyl formate;n-Butyl formate;nBF;InChI=1S/C5H10O2/c1-2-3-4-7-5-6/h5H,2-4H2,1H3;CCCCOC=O;2.433;Journal of The Electrochemical Society, 165 (10) A2365-A2373 (2018) (DOI:10.1149/2.1351810jes)
2-methylpropyl formate;i-Butyl formate;iBF;InChI=1S/C5H10O2/c1-5(2)3-7-4-6/h4-5H,3H2,1-2H3;CC(C)COC=O;2.784;Journal of The Electrochemical Society, 165 (10) A2365-A2373 (2018) (DOI:10.1149/2.1351810jes)
methyl 3-fluoropropanoate;Methyl 3-fluoropropanoate;;InChI=1S/C4H7FO2/c1-7-4(6)2-3-5/h2-3H2,1H3;COC(=O)CCF;2.503;Zheng, Yezhen,Secondary battery and electronic device, CN117913217A(patent)
fluoromethyl propanoate;Fluoromethyl propanoate;;InChI=1S/C4H7FO2/c1-2-4(6)7-3-5/h2-3H2,1H3;CCC(=O)OCF;2.788;Zhang, Shan,Electrolyte, electrochemical device using same, and electronic device,CN117080566A(patent)
methyl 3,3-difluoropropanoate;Methyl 3,3-difluoropropanoate;;InChI=1S/C4H6F2O2/c1-8-4(7)2-3(5)6/h3H,2H2,1H3;COC(=O)CC(F)F;2.655;Yi, Liling,CN115954542A(patent)
methyl 3,3,3-trifluoropropanoate;Methyl 3,3,3-trifluoropropionate;M3FP(TFPM,3FMP);InChI=1S/C4H5F3O2/c1-9-3(8)2-4(5,6)7/h2H2,1H3;COC(=O)CC(F)(F)F;2.288;Journal of The Electrochemical Society,2020,167,040508(DOI:10.1149/1945-7111/ab7181)
ethyl 3,3,3-trifluoropropanoate;Ethyl 3,3,3-trifluoropropanoate;TFPE(tFEP);InChI=1S/C5H7F3O2/c1-2-10-4(9)3-5(6,7)8/h2-3H2,1H3;CCOC(=O)CC(F)(F)F;2.186;Chem. Sci., 2024, 15, 4238(DOI:10.1039/d3sc06650a)
1,1,1-trifluoro-2-(2,2,2-trifluoroethoxy)ethane;Bis(2,2,2-trifluoroethyl) ether;BTFE;InChI=1S/C4H4F6O/c5-3(6,7)1-11-2-4(8,9)10/h1-2H2;FC(F)(F)COCC(F)(F)F;2.479;J. Am. Chem. Soc. 2025, 147, 11, 9365?9377(DOI:10.1021/jacs.4c15759)
1,1,2,2-tetrafluoro-1-(2,2,2-trifluoroethoxy)ethane;1,1,2,2-Tetrafluoroethyl-2,2,2-trifluoroethyl ether;HFE(D2);InChI=1S/C4H3F7O/c5-2(6)4(10,11)12-1-3(7,8)9/h2H,1H2;FC(F)C(F)(F)OCC(F)(F)F;3.035;Chem. Sci., 2024, 15, 4238(DOI:10.1039/d3sc06650a)
1,1,2,2-tetrafluoro-3-(1,1,2,2-tetrafluoroethoxy)propane;1,1,2,2-Tetrafluoro-3-(1,1,2,2-tetrafluoroethoxy)propane;TTE(FEPE);InChI=1S/C5H4F8O/c6-2(7)4(10,11)1-14-5(12,13)3(8)9/h2-3H,1H2;FC(F)C(F)(F)COC(F)(F)C(F)F;3.303;Chem. Rev. 2014, 114, 11503?11618(DOI: 10.1021/cr500003w)
1-ethoxy-1,1,2,2-tetrafluoroethane;Ethyl 1,1,2,2-tetrafluoroethyl ether;ETE(ETFE);InChI=1S/C4H6F4O/c1-2-9-4(7,8)3(5)6/h3H,2H2,1H3;CCOC(F)(F)C(F)F;2.974;Electrochimica Acta 161 (2015) 55?62(DOI:10.1016/j.electacta.2015.02.031)
fluoro(dimethoxy)methane;Fluoro(dimethoxy)methane;;InChI=1S/C3H7FO2/c1-5-3(4)6-2/h3H,1-2H3;COC(F)OC;3.639;Li, Zhao,Overcharge safety type non-aqueous electrolyte for lithium ion battery,CN102931435A(patent)
fluoromethoxy(methoxy)methane;Fluoromethoxy(methoxy)methane;;InChI=1S/C3H7FO2/c1-5-3-6-2-4/h2-3H2,1H3;COCOCF;3.204;Li, Quanyin, CN120423939 A(Patent)
ethoxybenzene;;PhE;InChI=1S/C8H10O/c1-2-9-8-6-4-3-5-7-8/h3-7H,2H2,1H3;CCOc1ccccc1;1.042;J. Phys. Chem. Lett. 2024, 15, 8378?8386(DOI:10.1021/acs.jpclett.4c01613)
butoxybenzene;Butyl phenyl ether;PhB;InChI=1S/C10H14O/c1-2-3-9-11-10-7-5-4-6-8-10/h4-8H,2-3,9H2,1H3;CCCCOc1ccccc1;1.190;J. Phys. Chem. Lett. 2024, 15, 8378?8386(DOI:10.1021/acs.jpclett.4c01613)
2-methyl-1,4-dioxane;2-Methyl-1,4-dioxane;;InChI=1S/C5H10O2/c1-5-4-6-2-3-7-5/h5H,2-4H2,1H3;CC1COCCO1;3.281;Chen, Lin, WO2025138400A1 (patent)
5-fluoro-1,3-dioxane;5-Fluoro-1,3-Dioxane;;InChI=1S/C4H7FO2/c5-4-1-6-3-7-2-4/h4H,1-3H2;FC1COCOC1;3.719;Li, Lifei, CN102479977 A (patent)
5,5-difluoro-1,3-dioxane;5,5-Difluoro-1,3-Dioxane;;InChI=1S/C4H6F2O2/c5-4(6)1-7-3-8-2-4/h1-3H2;FC1(F)COCOC1;3.826;Yu, Zhiao, WO2024226580 A2 (patent)
4,4-difluoro-1,3-dioxane;4,4-Difluoro-1,3-Dioxane;;InChI=1S/C4H6F2O2/c5-4(6)1-2-7-3-8-4/h1-3H2;FC1(F)CCOCO1;3.767;Yu, Zhiao, WO2024226580 A2 (patent)
ethyl propanoate;Ethyl propionate;;InChI=1S/C5H10O2/c1-3-5(6)7-4-2/h3-4H2,1-2H3;CCOC(=O)CC;1.704;Chem. Rev. 2014, 114, 11503?11618(DOI: 10.1021/cr500003w)
2-methoxyethyl acetate;2-Methoxyethyl acetate;AME;InChI=1S/C5H10O3/c1-5(6)8-4-3-7-2/h3-4H2,1-2H3;COCCOC(C)=O;1.799;Chemistry Letters Vol.34, No.7 (2005)(DOI:10.1246/cl.2005.1052)
3-methylbutyl acetate;Isoamyl acetate;;InChI=1S/C7H14O2/c1-6(2)4-5-9-7(3)8/h6H,4-5H2,1-3H3;CC(=O)OCCC(C)C;1.851;Yu, Zhili, Electrolyte and lithium ion battery,CN116417675A (patent)
ethenyl acetate;Vinyl acetate;;InChI=1S/C4H6O2/c1-3-6-4(2)5/h3H,1H2,2H3;C=COC(C)=O;2.967;Electrochimica Acta 49 (2004) 4613?4622(DOI:10.1016/j.electacta.2004.05.016)
methyl 2-methylpropanoate;Methyl isobutyrate;MIB;InChI=1S/C5H10O2/c1-4(2)5(6)7-3/h4H,1-3H3;COC(=O)C(C)C;2.019;Journal of Power Sources 179 (2008) 770?779(DOI:10.1016/j.jpowsour.2008.01.006)
methyl benzenesulfonate;Methyl benzenesulfonate;;InChI=1S/C7H8O3S/c1-10-11(8,9)7-5-3-2-4-6-7/h2-6H,1H3;COS(=O)(=O)c1ccccc1;1.759;Iijima, Takayuki,Non-aqueous electrolyte and lithium-ion secondary battery,JP2020072023A(patent)
2-oxo-1,3-dioxolane-4-carbonitrile;2-Oxo-1,3-dioxolane-4-carbonitrile;;InChI=1S/C4H3NO3/c5-1-3-2-7-4(6)8-3/h3H,2H2;N#CC1COC(=O)O1;4.248;Park, Na-Rae,Electrolyte for lithium secondary battery and lithium secondary battery comprising the same,US20090155697 A1(patent)
4-(trifluoromethyl)-1,3-dioxolan-2-one;4-Trifluoromethyl-1,3-dioxolan-2-one;TFPC;InChI=1S/C4H3F3O3/c5-4(6,7)2-1-9-3(8)10-2/h2H,1H2;O=C1OCC(C(F)(F)F)O1;3.796;Chem. Soc. Rev.,2023,52,2713 (DOI:10.1039/d2cs00873d)
4-chloro-1,3-dioxolan-2-one;4-Chloro-1,3-dioxolan-2-one;;InChI=1S/C3H3ClO3/c4-2-1-6-3(5)7-2/h2H,1H2;O=C1OCC(Cl)O1;4.091;J. Electrochem. Soc. 1995, 142 L161 (DOI:10.1149/1.2048734)
chloromethyl methyl carbonate;Chloromethyl methyl carbonate;;InChI=1S/C3H5ClO3/c1-6-3(5)7-2-4/h2H2,1H3;COC(=O)OCCl;2.739;Katayama, Hideaki,Nonaqueous electrolyte secondary battery with fire safety,JPH11195429A(patent)
methyl 3-methylsulfonylpropyl carbonate;Methyl (3-(methylsulfonyl)propyl) carbonate;MSPMC;InChI=1S/C6H12O5S/c1-10-6(7)11-4-3-5-12(2,8)9/h3-5H2,1-2H3;COC(=O)OCCCS(C)(=O)=O;2.276;Garbe, James E.,High-boiling electrolyte solvents consisting of alkyl ,US20020084445 A1(patent)
ethyl 3-methylsulfonylpropyl carbonate;Ethyl (3-(methylsulfonyl)propyl) carbonate;MSPEC;InChI=1S/C7H14O5S/c1-3-11-7(8)12-5-4-6-13(2,9)10/h3-6H2,1-2H3;CCOC(=O)OCCCS(C)(=O)=O;2.196;ChemElectroChem 2018, 5, 2279 ? 2287(DOI:10.1002/celc.201701343)
2-{[(3-methanesulfonylpropoxy)carbonyl]oxy}propane;2-{[(3-methanesulfonylpropoxy)carbonyl]oxy}propane;MSPiPC;InChI=1S/C8H16O5S/c1-7(2)13-8(9)12-5-4-6-14(3,10)11/h7H,4-6H2,1-3H3;CC(C)OC(=O)OCCCS(C)(=O)=O;2.299;ChemElectroChem 2018, 5, 2279 ? 2287(DOI:10.1002/celc.201701343)
bis(2,2,2-trifluoroethyl) carbonate;Bis(2,2,2-trifluoroethyl) carbonate;BTFC(HFDEC,BTFEC,BTC,DTFEC);InChI=1S/C5H4F6O3/c6-4(7,8)1-13-3(12)14-2-5(9,10)11/h1-2H2;O=C(OCC(F)(F)F)OCC(F)(F)F;2.561;Chem. Rev. 2014, 114, 11503?11618(DOI: 10.1021/cr500003w)
4,5-dimethyl-1,3-dioxolan-2-one;2,3-Butylene carbonate;2,3-BC;InChI=1S/C5H8O3/c1-3-4(2)8-5(6)7-3/h3-4H,1-2H3;CC1OC(=O)OC1C;3.867;Chem. Rev. 2014, 114, 11503?11618(DOI: 10.1021/cr500003w)
