IUPAC Name;Common Name;Abbreviation;Inchi;SMILES;SAScore;Reference
methyl prop-2-enyl carbonate;Isobutylene carbonate;i-BC-2;InChI=1S/C5H8O3/c1-3-4-8-5(6)7-2/h3H,1,4H2,2H3;C=CCOC(=O)OC;2.434;Electrochimica Acta 49 (2004) 4613?4622(DOI:10.1016/j.electacta.2004.05.016)
4,5-difluoro-1,3-dioxolan-2-one;Difluoroethylene carbonate;DFEC(F2EC);InChI=1S/C3H2F2O3/c4-1-2(5)8-3(6)7-1/h1-2H;O=C1OC(F)C(F)O1;4.624;Chem. Soc. Rev.,2023,52,2713 (DOI:10.1039/d2cs00873d)
bis(trifluoromethyl) carbonate;Carbonic acid bis(trifluoromethyl) ester;TFDMC;InChI=1S/C3F6O3/c4-2(5,6)11-1(10)12-3(7,8)9;O=C(OC(F)(F)F)OC(F)(F)F;2.934;Cui, Hui,Electrolyte and electrochemical device using same, and electronic device,CN117175013A(patent)
bis(fluoromethyl) carbonate;Carbonic acid bis(fluoromethyl) ester;DFDMC;InChI=1S/C3H4F2O3/c4-1-7-3(6)8-2-5/h1-2H2;O=C(OCF)OCF;3.384;Electrochemistry 76.1 (2008): 2-15(DOI:10.5796/electrochemistry.76.2)
1-fluoroethyl methyl carbonate;1-Fluoroethyl Methyl Carbonate;1FEMC;InChI=1S/C4H7FO3/c1-3(5)8-4(6)7-2/h3H,1-2H3;COC(=O)OC(C)F;3.375;Yin, Xiangzhu,Non-aqueous electrolyte and secondary battery,CN116779974A(patent)
methylsulfonylmethane;Dimethyl sulfone;DMS;InChI=1S/C2H6O2S/c1-5(2,3)4/h1-2H3;CS(C)(=O)=O;2.076;J. Electrochem. Soc. 2002,149 A920(DOI:10.1149/1.1483866)
1-ethylsulfonylethane;Diethyl sulfone;DES;InChI=1S/C4H10O2S/c1-3-7(5,6)4-2/h3-4H2,1-2H3;CCS(=O)(=O)CC;2.399;Xiao, Feng,Type of nonaqueous electrolyte for lithium secondary battery,US2007105022A1(patent)
1-ethylsulfinylethane;Diethyl sulfoxide;DESO;InChI=1S/C4H10OS/c1-3-6(5)4-2/h3-4H2,1-2H3;CCS(=O)CC;3.288;Takayuki Taki,Nonaqueous secondary battery,US9337511B2(patent)
1-propylsulfinylpropane;Dipropyl sulfoxide;DPSO;InChI=1S/C6H14OS/c1-3-5-8(7)6-4-2/h3-6H2,1-2H3;CCCS(=O)CCC;2.945;Takayuki Taki,Nonaqueous secondary battery,US9337511B2(patent)
1-butylsulfinylbutane;Dibutyl sulfoxide;DBSO;InChI=1S/C8H18OS/c1-3-5-7-10(9)8-6-4-2/h3-8H2,1-2H3;CCCCS(=O)CCCC;2.585;Li, Bin,Liquid electrolyte formulations with high salt content for lithium-ion batteries,WO2017172919A1(patent)
3-methylsulfonylpropyl acetate;(Methylsulfonyl)propylacetate;MSPA;InChI=1S/C6H12O4S/c1-6(7)10-4-3-5-11(2,8)9/h3-5H2,1-2H3;CC(=O)OCCCS(C)(=O)=O;2.093;ChemElectroChem 2018, 5, 2279 ? 2287(DOI:10.1002/celc.201701343)
2-methylsulfonylethyl 2,2-difluoroacetate;2-methylsulfonylethyl 2,2-difluoroacetate;MSPTFA;InChI=1S/C5H8F2O4S/c1-12(9,10)3-2-11-5(8)4(6)7/h4H,2-3H2,1H3;CS(=O)(=O)CCOC(=O)C(F)F;2.669;Chen, Xudong,Multifunctional sulfone/fluorinated ester solvents,US8092942B1(patent)
4-methylsulfonylbutanenitrile;4-(Methylsulfonyl)butanenitrile;MCPS;InChI=1S/C5H9NO2S/c1-9(7,8)5-3-2-4-6/h2-3,5H2,1H3;N#CCCCS(C)(=O)=O;2.496;ChemElectroChem 2018, 5, 2279 ? 2287(DOI:10.1002/celc.201701343)
thietane 1,1-dioxide;Trimethylene sulfone;TriPS(TriMS);InChI=1S/C3H6O2S/c4-6(5)2-1-3-6/h1-3H2;O=S1(=O)CCC1;2.585;J. Electrochem. Soc. 2002,149 A920(DOI:10.1149/1.1483866)
3-methoxythiolane 1,1-dioxide;3-Methoxysulfolane;MESL;InChI=1S/C5H10O3S/c1-8-5-2-3-9(6,7)4-5/h5H,2-4H2,1H3;COC1CCS(=O)(=O)C1;3.137;ChemElectroChem 2018, 5, 2279 ? 2287(DOI:10.1002/celc.201701343)
3-ethoxythiolane 1,1-dioxide;3-Ethoxysulfolane;EESL;InChI=1S/C6H12O3S/c1-2-9-6-3-4-10(7,8)5-6/h6H,2-5H2,1H3;CCOC1CCS(=O)(=O)C1;3.077;ChemElectroChem 2018, 5, 2279 ? 2287(DOI:10.1002/celc.201701343)
3-propan-2-yloxythiolane 1,1-dioxide;3-Isopropoxytetrahydrothiophene 1,1-dioxide;ISEL(IESL);InChI=1S/C7H14O3S/c1-6(2)10-7-3-4-11(8,9)5-7/h6-7H,3-5H2,1-2H3;CC(C)OC1CCS(=O)(=O)C1;3.219;ChemElectroChem 2018, 5, 2279 ? 2287(DOI:10.1002/celc.201701343)
3-(2-methoxyethoxy)thiolane 1,1-dioxide;3-(2-Methoxyethoxy)thiolane 1,1-dioxide;GLSL;InChI=1S/C7H14O4S/c1-10-3-4-11-7-2-5-12(8,9)6-7/h7H,2-6H2,1H3;COCCOC1CCS(=O)(=O)C1;3.016;ChemElectroChem 2018, 5, 2279 ? 2287(DOI:10.1002/celc.201701343)
(1,1-dioxothiolan-3-yl) acetate;1,1-Dioxothiolan-3-yl acetate;ACSL;InChI=1S/C6H10O4S/c1-5(7)10-6-2-3-11(8,9)4-6/h6H,2-4H2,1H3;CC(=O)OC1CCS(=O)(=O)C1;2.967;ChemElectroChem 2018, 5, 2279 ? 2287(DOI:10.1002/celc.201701343)
methyl 2-methylsulfonylacetate;Methyl (methylsulfonyl) acetate;MMSA;InChI=1S/C4H8O4S/c1-8-4(5)3-9(2,6)7/h3H2,1-2H3;COC(=O)CS(C)(=O)=O;2.324;ChemElectroChem 2018, 5, 2279 ? 2287(DOI:10.1002/celc.201701343)
1-methoxy-2-(2-methoxyethylsulfonyl)ethane;1-Methoxy-2-(2-methoxyethanesulfonyl)ethane;DMES;InChI=1S/C6H14O4S/c1-9-3-5-11(7,8)6-4-10-2/h3-6H2,1-2H3;COCCS(=O)(=O)CCOC;2.335;Electrochemistry Communications,7,(2005),261?266(DOI:10.1016/j.elecom.2005.01.010)
ethyl 2-methylsulfonylacetate;Ethyl methanesulfonylacetate;EMSA;InChI=1S/C5H10O4S/c1-3-9-5(6)4-10(2,7)8/h3-4H2,1-2H3;CCOC(=O)CS(C)(=O)=O;2.237;ChemElectroChem 2018, 5, 2279 ? 2287(DOI:10.1002/celc.201701343)
2-methylsulfonylethyl acetate;2-(Methylsulfonyl)ethyl acetate;MSEA;InChI=1S/C5H10O4S/c1-5(6)9-3-4-10(2,7)8/h3-4H2,1-2H3;CC(=O)OCCS(C)(=O)=O;2.166;ChemElectroChem 2018, 5, 2279 ? 2287(DOI:10.1002/celc.201701343)
2-methylsulfonylethyl 2,2,2-trifluoroacetate;2-(Methylsulfonyl)ethyl 2,2,2-trifluoroacetate;MSTFA;InChI=1S/C5H7F3O4S/c1-13(10,11)3-2-12-4(9)5(6,7)8/h2-3H2,1H3;CS(=O)(=O)CCOC(=O)C(F)(F)F;2.439;ChemElectroChem 2018, 5, 2279 ? 2287(DOI:10.1002/celc.201701343)
methyl 2-methylsulfonylethyl carbonate;{[(2-methanesulfonylethoxy)carbonyl]oxy}methane;MSEMC;InChI=1S/C5H10O5S/c1-9-5(6)10-3-4-11(2,7)8/h3-4H2,1-2H3;COC(=O)OCCS(C)(=O)=O;2.355;ChemElectroChem 2018, 5, 2279 ? 2287(DOI:10.1002/celc.201701343)
ethyl 2-methylsulfonylethyl carbonate;ethyl 2-methylsulfonylethyl carbonate;MSDEC;InChI=1S/C6H12O5S/c1-3-10-6(7)11-4-5-12(2,8)9/h3-5H2,1-2H3;CCOC(=O)OCCS(C)(=O)=O;2.255;ChemElectroChem 2018, 5, 2279 ? 2287(DOI:10.1002/celc.201701343)
2-methylsulfonylethyl propan-2-yl carbonate;2-{[(2-methanesulfonylethoxy)carbonyl]oxy}propane;MSEiPC;InChI=1S/C7H14O5S/c1-6(2)12-7(8)11-4-5-13(3,9)10/h6H,4-5H2,1-3H3;CC(C)OC(=O)OCCS(C)(=O)=O;2.359;ChemElectroChem 2018, 5, 2279 ? 2287(DOI:10.1002/celc.201701343)
methoxy(methylsulfonyl)methane;Methanesulfonyl(methoxy)methane;MMMS;InChI=1S/C3H8O3S/c1-6-3-7(2,4)5/h3H2,1-2H3;COCS(C)(=O)=O;2.951;Electrochemistry Communications,7,(2005),261?266(DOI:10.1016/j.elecom.2005.01.010)
1-methylsulfonylpropane;Methyl propyl sulfone;MPS(PMS);InChI=1S/C4H10O2S/c1-3-4-7(2,5)6/h3-4H2,1-2H3;CCCS(C)(=O)=O;2.238;Chem. Soc. Rev.,2023,52,2713 (DOI:10.1039/d2cs00873d)
2-propan-2-ylsulfonylbutane;2-(Propane-2-sulfonyl)butane;iPSBS;InChI=1S/C7H16O2S/c1-5-7(4)10(8,9)6(2)3/h6-7H,5H2,1-4H3;CCC(C)S(=O)(=O)C(C)C;3.116;Chem. Rev. 2014, 114, 11503?11618(DOI: 10.1021/cr500003w)
2-methyl-1-propan-2-ylsulfonylpropane;2-Methyl-1-(propane-2-sulfonyl)propane;iPiBS;InChI=1S/C7H16O2S/c1-6(2)5-10(8,9)7(3)4/h6-7H,5H2,1-4H3;CC(C)CS(=O)(=O)C(C)C;2.473;Chem. Rev. 2014, 114, 11503?11618(DOI: 10.1021/cr500003w)
1,1-Dioxo-1{lambda}^6-thiolan-3-yl ethyl carbonate;1,1-Dioxo-1{lambda}^6-thiolan-3-yl ethyl carbonate;ECSL;InChI=1S/C7H12O5S/c1-2-11-7(8)12-6-3-4-13(9,10)5-6/h6H,2-5H2,1H3;CCOC(=O)OC1CCS(=O)(=O)C1;3.018;ChemElectroChem 2018, 5, 2279 ? 2287(DOI:10.1002/celc.201701343)
butyl butane-1-sulfonate;Butyl sultone;;InChI=1S/C8H18O3S/c1-3-5-7-11-12(9,10)8-6-4-2/h3-8H2,1-2H3;CCCCOS(=O)(=O)CCCC;2.334;Solid State Ionics 254 (2014) 27?31(DOI:10.1016/j.ssi.2013.10.047)
5-fluorooxathiolane 2,2-dioxide;3-Fluoro-1,3-propane sultone;FPS;InChI=1S/C3H5FO3S/c4-3-1-2-8(5,6)7-3/h3H,1-2H2;O=S1(=O)CCC(F)O1;4.781;Chem. Soc. Rev.,2023,52,2713 (DOI:10.1039/d2cs00873d)
oxathiolane 2,2-dioxide;1,3-Propanesultone;PS-2;InChI=1S/C3H6O3S/c4-7(5)3-1-2-6-7/h1-3H2;O=S1(=O)CCCO1;3.974;Chem. Rev. 2014, 114, 11503?11618(DOI: 10.1021/cr500003w)
fluoro(methylsulfonyl)methane;Methyl(fluoromethyl) sulfone;;InChI=1S/C2H5FO2S/c1-6(4,5)2-3/h2H2,1H3;CS(=O)(=O)CF;2.652;Burkhardt, Stephen E. Nonaqueous electrolyte compositions containing fluorinated sulfones,WO2017209762A1(patent)
difluoro(methylsulfonyl)methane;Difluoro(methylsulfonyl)methane;;InChI=1S/C2H4F2O2S/c1-7(5,6)2(3)4/h2H,1H3;CS(=O)(=O)C(F)F;2.570;Sudo, Hitoshi,Electrochemical device containing sulfone in electrolytic solution,JP2013051342 A(patent)
trifluoro(methylsulfonyl)methane;Methyltrifluoromethyl sulfone;;InChI=1S/C2H3F3O2S/c1-8(6,7)2(3,4)5/h1H3;CS(=O)(=O)C(F)(F)F;2.334;Sudo, Hitoshi,Electrochemical device containing sulfone in electrolytic solution,JP2013051342 A(patent)
2-fluorothiolane 1,1-dioxide;Thiophene,2-fluorotetrahydro-,1,1-dioxide;2FTMS;InChI=1S/C4H7FO2S/c5-4-2-1-3-8(4,6)7/h4H,1-3H2;O=S1(=O)CCCC1F;4.245;Chem. Soc. Rev.,2023,52,2713 (DOI:10.1039/d2cs00873d)
3-fluorothiolane 1,1-dioxide;Thiophene,3-fluorotetrahydro-,1,1-dioxide;3FTMS;InChI=1S/C4H7FO2S/c5-4-1-2-8(6,7)3-4/h4H,1-3H2;O=S1(=O)CCC(F)C1;3.751;Chem. Soc. Rev.,2023,52,2713 (DOI:10.1039/d2cs00873d)
1,1,1-trifluoro-2-methylsulfonylethane;1,1,1-Trifluoro-2-methylsulfonylethane;TFEMS(FTEMS);InChI=1S/C3H5F3O2S/c1-9(7,8)2-3(4,5)6/h2H2,1H3;CS(=O)(=O)CC(F)(F)F;2.725;Chem. Soc. Rev.,2023,52,2713 (DOI:10.1039/d2cs00873d)
1-(trifluoromethylsulfonyl)ethane;Trifluoromethanesulphonylethane;FMES;InChI=1S/C3H5F3O2S/c1-2-9(7,8)3(4,5)6/h2H2,1H3;CCS(=O)(=O)C(F)(F)F;2.751;Chem. Soc. Rev.,2023,52,2713 (DOI:10.1039/d2cs00873d)
2-(trifluoromethylsulfonyl)propane;2-(Trifluoromethanesulfonyl)propane;FMiPS;InChI=1S/C4H7F3O2S/c1-3(2)10(8,9)4(5,6)7/h3H,1-2H3;CC(C)S(=O)(=O)C(F)(F)F;2.738;Chem. Soc. Rev.,2023,52,2713 (DOI:10.1039/d2cs00873d)
oxathiane 2,2-dioxide;1,4-Butane sultone;;InChI=1S/C4H8O3S/c5-8(6)4-2-1-3-7-8/h1-4H2;O=S1(=O)CCCCO1;3.575;Ionics 25, 1447?1457 (2019)(DOI:10.1007/s11581-019-02925-6)
trimethyl phosphate;Trimethyl phosphate;TMP;InChI=1S/C3H9O4P/c1-5-8(4,6-2)7-3/h1-3H3;COP(=O)(OC)OC;3.047;J. Electrochem. Soc. 2015,162 A3084 (DOI:10.1149/2.0121502jes)
triethyl phosphate;Triethyl phosphate;TEP;InChI=1S/C6H15O4P/c1-4-8-11(7,9-5-2)10-6-3/h4-6H2,1-3H3;CCOP(=O)(OCC)OCC;2.595;Chem. Soc. Rev.,2023,52,2713 (DOI:10.1039/d2cs00873d)
[methoxy(methyl)phosphoryl]oxymethane;Dimethyl methyl phosphonate;DMMP;InChI=1S/C3H9O3P/c1-5-7(3,4)6-2/h1-3H3;COP(C)(=O)OC;3.390;Chem. Rev. 2014, 114, 11503?11618(DOI: 10.1021/cr500003w)
4,5-dimethyl-1,3-dioxol-2-one;4,5-Dimethyl-1,3-dioxol-2-one;;InChI=1S/C5H6O3/c1-3-4(2)8-5(6)7-3/h1-2H3;Cc1oc(=O)oc1C;2.993;NATURE COMMUNICATIONS | (2021) 12:838(DOI:10.1038/s41467-021-21106-6)
3-methyl-1,3-oxazolidin-2-one;N-methyl-2-oxazolidinone;NMO;InChI=1S/C4H7NO2/c1-5-2-3-7-4(5)6/h2-3H2,1H3;CN1CCOC1=O;2.648;Journal of The Electrochemical Society, 164 (2) A54-A60 (2017) (DOI:10.1149/2.0211702jes)
1,3-dimethylimidazolidin-2-one;N,N'-dimethylimidazolidinone;DMI;InChI=1S/C5H10N2O/c1-6-3-4-7(2)5(6)8/h3-4H2,1-2H3;CN1CCN(C)C1=O;2.511;Journal of The Electrochemical Society, 164 (2) A54-A60 (2017) (DOI:10.1149/2.0211702jes)
furan;Furan;;InChI=1S/C4H4O/c1-2-4-5-3-1/h1-4H;c1ccoc1;3.410;Nature Communications,(2022),13:4538(DOI:10.1038/s41467-022-32192-5)
2,5-dimethylfuran;2,5-Dimethylfuran;DMFu;InChI=1S/C6H8O/c1-5-3-4-6(2)7-5/h3-4H,1-2H3;Cc1ccc(C)o1;1.990;Adv. Funct. Mater. 2025, 2502761(DOI:10.1002/adfm.202502761)
3-fluorofuran;3-Fluorofuran;;InChI=1S/C4H3FO/c5-4-1-2-6-3-4/h1-3H;Fc1ccoc1;3.177;Zhijia Du,Non-aqueous electrolyte containing lifsi salt for fast charging/discharging of lithium-ion battery,US20220037698A1(patent)
2-fluorofuran;2-Fluorofuran;;InChI=1S/C4H3FO/c5-4-2-1-3-6-4/h1-3H;Fc1ccco1;3.056;Zhijia Du,Non-aqueous electrolyte containing lifsi salt for fast charging/discharging of lithium-ion battery,US20220037698A1(patent)
3,4-Difluorofuran;3,4-Difluorofuran;;InChI=1S/C4H2F2O/c5-3-1-7-2-4(3)6/h1-2H;Fc1cocc1F;3.526;Jung, Cheol Soo, Electrolyte having improved high-rate charge and discharge property, and capacitor comprising same, US20150024267 A1 (patent)
2,5-Difluorofuran;2,5-Difluorofuran;;InChI=1S/C4H2F2O/c5-3-1-2-4(6)7-3/h1-2H;Fc1ccc(F)o1;3.605;Jung, Cheol Soo, Electrolyte having improved high-rate charge and discharge property, and capacitor comprising same, US20150024267 A1 (patent)
2,4-Difluorofuran;2,4-Difluorofuran;;InChI=1S/C4H2F2O/c5-3-1-4(6)7-2-3/h1-2H;Fc1coc(F)c1;3.592;Jung, Cheol Soo, Electrolyte having improved high-rate charge and discharge property, and capacitor comprising same, US20150024267 A1 (patent)
furan-2-carbonitrile;2-Furonitrile;;InChI=1S/C5H3NO/c6-4-5-2-1-3-7-5/h1-3H;N#Cc1ccco1;2.976;Frederick Francois CHESNEAU,Acrylonitrile derivatives as additive for electrolytes in lithium ion batteries,US9761909B2(patent)
2-ethylfuran;2-Ethylfuran;;InChI=1S/C6H8O/c1-2-6-4-3-5-7-6/h3-5H,2H2,1H3;CCc1ccco1;2.076;Seonghyo PARK,Electrolyte for a lithium-sulfur secondary battery and lithium-sulfur secondary battery including the same,CN118843968A(patent)
2,3-dimethylfuran;2,3-Dimethylfuran;;InChI=1S/C6H8O/c1-5-3-4-7-6(5)2/h3-4H,1-2H3;Cc1ccoc1C;2.534;Cha, Seon Yeong,An electrolyte for lithium-sulfur secondary battery, capable of lowering the resistance of lithium-sulfur secondary battery, IN202517023894 A (patent)
3-methyloxolane;3-Methyltetrahydrofuran;;InChI=1S/C5H10O/c1-5-2-3-6-4-5/h5H,2-4H2,1H3;CC1CCOC1;3.049;Cheng, Meixiao,Primary lithium ion battery and its electrolyte,CN113839059 A(patent)
1-methoxypropan-2-one;Methoxyacetone;;InChI=1S/C4H8O2/c1-4(5)3-6-2/h3H2,1-2H3;COCC(C)=O;2.275;Hiroki IGUCHI,Electrolyte solution and lithium-ion battery,US20190260081A1(patent)
1-chloropropan-2-one;Chloroacetone;;InChI=1S/C3H5ClO/c1-3(5)2-4/h2H2,1H3;CC(=O)CCl;2.373;Kawashima, Atsumichi,Secondary nonaqueous electrolyte battery,JP2008305770 A(patent)
1-fluoropropan-2-one;Fluoroacetone;;InChI=1S/C3H5FO/c1-3(5)2-4/h2H2,1H3;CC(=O)CF;2.581;Electrochemistry Communications 16 (2012) 41?43(DOI:10.1016/j.elecom.2011.12.021)
5-methyloxolan-2-one;gamma-Valerolactone;GVL;InChI=1S/C5H8O2/c1-4-2-3-5(6)7-4/h4H,2-3H2,1H3;CC1CCC(=O)O1;3.015;J. Electrochem. Soc. 2015,162 A3084 (DOI:10.1149/2.0121502jes)
difluoromethyl fluoromethyl carbonate;Carbonic acid difluoromethylfluoromethyl ester;TFDMC_2;InChI=1S/C3H3F3O3/c4-1-8-3(7)9-2(5)6/h2H,1H2;O=C(OCF)OC(F)F;3.368;Electrochemistry 76.1 (2008): 2-15(DOI:10.5796/electrochemistry.76.2)
1-methoxy-2-[2-[2-(2-methoxyethoxy)ethoxy]ethoxy]ethane;Tetraethylene glycol dimethyl ether;Tetraglyme(G4);InChI=1S/C10H22O5/c1-11-3-5-13-7-9-15-10-8-14-6-4-12-2/h3-10H2,1-2H3;COCCOCCOCCOCCOC;1.898;Electrochemistry 76.1 (2008): 2-15(DOI:10.5796/electrochemistry.76.2)
nitromethane;Nitromethane;NM;InChI=1S/CH3NO2/c1-2(3)4/h1H3;C[N+](=O)[O-];2.931;Journal of The Electrochemical Society,2017,164 (2),A54-A60 (DOI:10.1149/2.0211702jes)
1,4-dimethoxybutane;1,4-Dimethoxybutane;DMB(C3);InChI=1S/C6H14O2/c1-7-5-3-4-6-8-2/h3-6H2,1-2H3;COCCCCOC;1.665;Nature Energy,2020,5(7),526-533
2,2,3,3-tetrafluoro-1,4-dimethoxybutane;2,2,3,3-tetrafluoro-1,4-dimethoxybutane;FDMB;InChI=1S/C6H10F4O2/c1-11-3-5(7,8)6(9,10)4-12-2/h3-4H2,1-2H3;COCC(F)(F)C(F)(F)COC;3.016;Chem. Sci., 2024, 15, 4238(DOI:10.1039/d3sc06650a)
1,2-oxazole;isoxazole;IZ;InChI=1S/C3H3NO/c1-2-4-5-3-1/h1-3H;c1cnoc1;4.228;ACS Appl.Mater.Interfaces,2021,13,24995
tripropyl phosphate;Tripropyl phosphate;TPrP;InChI=1S/C9H21O4P/c1-4-7-11-14(10,12-8-5-2)13-9-6-3/h4-9H2,1-3H3;CCCOP(=O)(OCCC)OCCC;2.632;Mater. Horiz.,2021,8,2913(DOI: 10.1039/D1MH00748C)
2-(2,2,2-trifluoroethoxy)-1,3,2lambda5-dioxaphospholane 2-oxide;2-(2,2,2-Trifluoroethoxy)-1,3,2-dioxaphospholane 2-Oxide;TFEP-2;InChI=1S/C4H6F3O4P/c5-4(6,7)3-11-12(8)9-1-2-10-12/h1-3H2;O=P1(OCC(F)(F)F)OCCO1;3.722;Mater. Horiz.,2021,8,2913(DOI: 10.1039/D1MH00748C)
2,5-dimethyloxolane;2,5-Dimethyltetrahydrofuran;DMeTHF(diMeTHF);InChI=1S/C6H12O/c1-5-3-4-6(2)7-5/h5-6H,3-4H2,1-2H3;CC1CCC(C)O1;3.320;Joule, 2022, 6, 588
N,N-dimethylsulfamoyl fluoride;Dimethylsulfamoyl fluoride;FSA;InChI=1S/C2H6FNO2S/c1-4(2)7(3,5)6/h1-2H3;CN(C)S(=O)(=O)F;2.648;Chem. Sci., 2024, 15, 4238(DOI:10.1039/d3sc06650a)
4,4-difluoro-1,3-dioxolan-2-one;difluoro ethylene carbonate;2FEC;InChI=1S/C3H2F2O3/c4-3(5)1-7-2(6)8-3/h1H2;O=C1OCC(F)(F)O1;3.806;Chem. Soc. Rev.,2023,52,2713 (DOI:10.1039/d2cs00873d)
4,4,5-trifluoro-1,3-dioxolan-2-one;trifluoroethylene carbonate;F3EC;InChI=1S/C3HF3O3/c4-1-3(5,6)9-2(7)8-1/h1H;O=C1OC(F)C(F)(F)O1;4.341;Chem. Soc. Rev.,2023,52,2713 (DOI:10.1039/d2cs00873d)
4-(2,2,3,3-tetrafluoropropoxymethyl)-1,3-dioxolan-2-one;3-(2,2,3,3-tetrafluoropropoxy)propyl-1-enecarbonate;TFPPC(HFEEC);InChI=1S/C7H8F4O4/c8-5(9)7(10,11)3-13-1-4-2-14-6(12)15-4/h4-5H,1-3H2;O=C1OCC(COCC(F)(F)C(F)F)O1;3.595;Chem. Soc. Rev.,2023,52,2713 (DOI:10.1039/d2cs00873d)
ethyl 1-fluoroethyl carbonate;Ethyl 1-fluoroethyl carbonate;F1DEC;InChI=1S/C5H9FO3/c1-3-8-5(7)9-4(2)6/h4H,3H2,1-2H3;CCOC(=O)OC(C)F;3.123;Chem. Soc. Rev.,2023,52,2713 (DOI:10.1039/d2cs00873d)
